# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_waterdata_support@usgs.gov
# retrieved: 2023-11-10 11:17:02 EST       (caww02)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 03303280 OHIO RIVER AT CANNELTON DAM AT CANNELTON, IN
# -----------------------------------------------------------------------------------
#
# Data provided for site 03303280
#            TS   parameter     statistic     Description
#        192392       00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#     A  Approved for publication -- Processing and review completed.
#     P  Provisional data subject to revision.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	192392_00060_00003	192392_00060_00003_cd
USGS	03303280	1975-11-26	51100	A
USGS	03303280	1975-11-27	59400	A
USGS	03303280	1975-11-28	68200	A
USGS	03303280	1975-11-29	58400	A
USGS	03303280	1975-11-30	65700	A
USGS	03303280	1975-12-01	105000	A
USGS	03303280	1975-12-02	111000	A
USGS	03303280	1975-12-03	109000	A
USGS	03303280	1975-12-04	98000	A
USGS	03303280	1975-12-05	87600	A
USGS	03303280	1975-12-06	82300	A
USGS	03303280	1975-12-07	91900	A
USGS	03303280	1975-12-08	115000	A
USGS	03303280	1975-12-09	123000	A
USGS	03303280	1975-12-10	115000	A
USGS	03303280	1975-12-11	111000	A
USGS	03303280	1975-12-12	110000	A
USGS	03303280	1975-12-13	105000	A
USGS	03303280	1975-12-14	106000	A
USGS	03303280	1975-12-15	111000	A
USGS	03303280	1975-12-16	155000	A
USGS	03303280	1975-12-17	178000	A
USGS	03303280	1975-12-18	187000	A
USGS	03303280	1975-12-19	209000	A
USGS	03303280	1975-12-20	219000	A
USGS	03303280	1975-12-21	201000	A
USGS	03303280	1975-12-22	158000	A
USGS	03303280	1975-12-23	132000	A
USGS	03303280	1975-12-24	117000	A
USGS	03303280	1975-12-25	102000	A
USGS	03303280	1975-12-26	128000	A
USGS	03303280	1975-12-27	172000	A
USGS	03303280	1975-12-28	205000	A
USGS	03303280	1975-12-29	226000	A
USGS	03303280	1975-12-30	232000	A
USGS	03303280	1975-12-31	230000	A
USGS	03303280	1976-01-01	265000	A
USGS	03303280	1976-01-02	274000	A
USGS	03303280	1976-01-03	340000	A
USGS	03303280	1976-01-04	392000	A
USGS	03303280	1976-01-05	428000	A
USGS	03303280	1976-01-06	438000	A
USGS	03303280	1976-01-07	424000	A
USGS	03303280	1976-01-08	386000	A
USGS	03303280	1976-01-09	318000	A
USGS	03303280	1976-01-10	236000	A
USGS	03303280	1976-01-11	198000	A
USGS	03303280	1976-01-12	164000	A
USGS	03303280	1976-01-13	141000	A
USGS	03303280	1976-01-14	158000	A
USGS	03303280	1976-01-15	205000	A
USGS	03303280	1976-01-16	232000	A
USGS	03303280	1976-01-17	256000	A
USGS	03303280	1976-01-18	258000	A
USGS	03303280	1976-01-19	233000	A
USGS	03303280	1976-01-20	187000	A
USGS	03303280	1976-01-21	143000	A
USGS	03303280	1976-01-22	111000	A
USGS	03303280	1976-01-23	106000	A
USGS	03303280	1976-01-24	103000	A
USGS	03303280	1976-01-25	98200	A
USGS	03303280	1976-01-26	169000	A
USGS	03303280	1976-01-27	228000	A
USGS	03303280	1976-01-28	245000	A
USGS	03303280	1976-01-29	260000	A
USGS	03303280	1976-01-30	275000	A
USGS	03303280	1976-01-31	276000	A
USGS	03303280	1976-02-01	273000	A
USGS	03303280	1976-02-02	255000	A
USGS	03303280	1976-02-03	215000	A
USGS	03303280	1976-02-04	177000	A
USGS	03303280	1976-02-05	157000	A
USGS	03303280	1976-02-06	139000	A
USGS	03303280	1976-02-07	129000	A
USGS	03303280	1976-02-08	131000	A
USGS	03303280	1976-02-09	141000	A
USGS	03303280	1976-02-10	144000	A
USGS	03303280	1976-02-11	134000	A
USGS	03303280	1976-02-12	124000	A
USGS	03303280	1976-02-13	140000	A
USGS	03303280	1976-02-14	153000	A
USGS	03303280	1976-02-15	168000	A
USGS	03303280	1976-02-16	179000	A
USGS	03303280	1976-02-17	208000	A
USGS	03303280	1976-02-18	290000	A
USGS	03303280	1976-02-19	363000	A
USGS	03303280	1976-02-20	434000	A
USGS	03303280	1976-02-21	475000	A
USGS	03303280	1976-02-22	500000	A
USGS	03303280	1976-02-23	503000	A
USGS	03303280	1976-02-24	491000	A
USGS	03303280	1976-02-25	466000	A
USGS	03303280	1976-02-26	426000	A
USGS	03303280	1976-02-27	374000	A
USGS	03303280	1976-02-28	315000	A
USGS	03303280	1976-02-29	255000	A
USGS	03303280	1976-03-01	234000	A
USGS	03303280	1976-03-02	208000	A
USGS	03303280	1976-03-03	185000	A
USGS	03303280	1976-03-04	165000	A
USGS	03303280	1976-03-05	155000	A
USGS	03303280	1976-03-06	152000	A
USGS	03303280	1976-03-07	167000	A
USGS	03303280	1976-03-08	179000	A
USGS	03303280	1976-03-09	175000	A
USGS	03303280	1976-03-10	164000	A
USGS	03303280	1976-03-11	151000	A
USGS	03303280	1976-03-12	143000	A
USGS	03303280	1976-03-13	150000	A
USGS	03303280	1976-03-14	163000	A
USGS	03303280	1976-03-15	170000	A
USGS	03303280	1976-03-16	170000	A
USGS	03303280	1976-03-17	162000	A
USGS	03303280	1976-03-18	156000	A
USGS	03303280	1976-03-19	137000	A
USGS	03303280	1976-03-20	130000	A
USGS	03303280	1976-03-21	136000	A
USGS	03303280	1976-03-22	176000	A
USGS	03303280	1976-03-23	241000	A
USGS	03303280	1976-03-24	286000	A
USGS	03303280	1976-03-25	290000	A
USGS	03303280	1976-03-26	268000	A
USGS	03303280	1976-03-27	219000	A
USGS	03303280	1976-03-28	173000	A
USGS	03303280	1976-03-29	159000	A
USGS	03303280	1976-03-30	161000	A
USGS	03303280	1976-03-31	162000	A
USGS	03303280	1976-04-01	173000	A
USGS	03303280	1976-04-02	191000	A
USGS	03303280	1976-04-03	209000	A
USGS	03303280	1976-04-04	218000	A
USGS	03303280	1976-04-05	220000	A
USGS	03303280	1976-04-06	206000	A
USGS	03303280	1976-04-07	181000	A
USGS	03303280	1976-04-08	160000	A
USGS	03303280	1976-04-09	142000	A
USGS	03303280	1976-04-10	126000	A
USGS	03303280	1976-04-11	108000	A
USGS	03303280	1976-04-12	90000	A
USGS	03303280	1976-04-13	76200	A
USGS	03303280	1976-04-14	61800	A
USGS	03303280	1976-04-15	67000	A
USGS	03303280	1976-04-16	57700	A
USGS	03303280	1976-04-17	58800	A
USGS	03303280	1976-04-18	51900	A
USGS	03303280	1976-04-19	47500	A
USGS	03303280	1976-04-20	51900	A
USGS	03303280	1976-04-21	36800	A
USGS	03303280	1976-04-22	47400	A
USGS	03303280	1976-04-23	53900	A
USGS	03303280	1976-04-24	58000	A
USGS	03303280	1976-04-25	46200	A
USGS	03303280	1976-04-26	53300	A
USGS	03303280	1976-04-27	52800	A
USGS	03303280	1976-04-28	44900	A
USGS	03303280	1976-04-29	56300	A
USGS	03303280	1976-04-30	55100	A
USGS	03303280	1976-05-01	44400	A
USGS	03303280	1976-05-02	44400	A
USGS	03303280	1976-05-03	44000	A
USGS	03303280	1976-05-04	45100	A
USGS	03303280	1976-05-05	53600	A
USGS	03303280	1976-05-06	39400	A
USGS	03303280	1976-05-07	52100	A
USGS	03303280	1976-05-08	50900	A
USGS	03303280	1976-05-09	47000	A
USGS	03303280	1976-05-10	44200	A
USGS	03303280	1976-05-11	26700	A
USGS	03303280	1976-05-12	32200	A
USGS	03303280	1976-05-13	28000	A
USGS	03303280	1976-05-14	34400	A
USGS	03303280	1976-05-15	33500	A
USGS	03303280	1976-05-16	22200	A
USGS	03303280	1976-05-17	39500	A
USGS	03303280	1976-05-18	50100	A
USGS	03303280	1976-05-19	66700	A
USGS	03303280	1976-05-20	72200	A
USGS	03303280	1976-05-21	67800	A
USGS	03303280	1976-05-22	74700	A
USGS	03303280	1976-05-23	64100	A
USGS	03303280	1976-05-24	51200	A
USGS	03303280	1976-05-25	53100	A
USGS	03303280	1976-05-26	34700	A
USGS	03303280	1976-05-27	38200	A
USGS	03303280	1976-05-28	37000	A
USGS	03303280	1976-05-29	37600	A
USGS	03303280	1976-05-30	33900	A
USGS	03303280	1976-05-31	63800	A
USGS	03303280	1976-06-01	89700	A
USGS	03303280	1976-06-02	81400	A
USGS	03303280	1976-06-03	95000	A
USGS	03303280	1976-06-04	99800	A
USGS	03303280	1976-06-05	91100	A
USGS	03303280	1976-06-06	73000	A
USGS	03303280	1976-06-07	63200	A
USGS	03303280	1976-06-08	40200	A
USGS	03303280	1976-06-09	28400	A
USGS	03303280	1976-06-10	35300	A
USGS	03303280	1976-06-11	36600	A
USGS	03303280	1976-06-12	28500	A
USGS	03303280	1976-06-13	11300	A
USGS	03303280	1976-06-14	23700	A
USGS	03303280	1976-06-15	22200	A
USGS	03303280	1976-06-16	34700	A
USGS	03303280	1976-06-17	35300	A
USGS	03303280	1976-06-18	26500	A
USGS	03303280	1976-06-19	46000	A
USGS	03303280	1976-06-20	72000	A
USGS	03303280	1976-06-21	74900	A
USGS	03303280	1976-06-22	77000	A
USGS	03303280	1976-06-23	83500	A
USGS	03303280	1976-06-24	90000	A
USGS	03303280	1976-06-25	117000	A
USGS	03303280	1976-06-26	140000	A
USGS	03303280	1976-06-27	111000	A
USGS	03303280	1976-06-28	96600	A
USGS	03303280	1976-06-29	77900	A
USGS	03303280	1976-06-30	64200	A
USGS	03303280	1976-07-01	62200	A
USGS	03303280	1976-07-02	61700	A
USGS	03303280	1976-07-03	52100	A
USGS	03303280	1976-07-04	48400	A
USGS	03303280	1976-07-05	42000	A
USGS	03303280	1976-07-06	39900	A
USGS	03303280	1976-07-07	36300	A
USGS	03303280	1976-07-08	43400	A
USGS	03303280	1976-07-09	50700	A
USGS	03303280	1976-07-10	58400	A
USGS	03303280	1976-07-11	60100	A
USGS	03303280	1976-07-12	50500	A
USGS	03303280	1976-07-13	92900	A
USGS	03303280	1976-07-14	149000	A
USGS	03303280	1976-07-15	149000	A
USGS	03303280	1976-07-16	91800	A
USGS	03303280	1976-07-17	73200	A
USGS	03303280	1976-07-18	73600	A
USGS	03303280	1976-07-19	88400	A
USGS	03303280	1976-07-20	67000	A
USGS	03303280	1976-07-21	33800	A
USGS	03303280	1976-07-22	32700	A
USGS	03303280	1976-07-23	53600	A
USGS	03303280	1976-07-24	57600	A
USGS	03303280	1976-07-25	76700	A
USGS	03303280	1976-07-26	100000	A
USGS	03303280	1976-07-27	103000	A
USGS	03303280	1976-07-28	82800	A
USGS	03303280	1976-07-29	52800	A
USGS	03303280	1976-07-30	52700	A
USGS	03303280	1976-07-31	43700	A
USGS	03303280	1976-08-01	39700	A
USGS	03303280	1976-08-02	55800	A
USGS	03303280	1976-08-03	44600	A
USGS	03303280	1976-08-04	45300	A
USGS	03303280	1976-08-05	28300	A
USGS	03303280	1976-08-06	28300	A
USGS	03303280	1976-08-07	41500	A
USGS	03303280	1976-08-08	53900	A
USGS	03303280	1976-08-09	44200	A
USGS	03303280	1976-08-10	61700	A
USGS	03303280	1976-08-11	55900	A
USGS	03303280	1976-08-12	42000	A
USGS	03303280	1976-08-13	47700	A
USGS	03303280	1976-08-14	33800	A
USGS	03303280	1976-08-15	41300	A
USGS	03303280	1976-08-16	65800	A
USGS	03303280	1976-08-17	71300	A
USGS	03303280	1976-08-18	52400	A
USGS	03303280	1976-08-19	49600	A
USGS	03303280	1976-08-20	45800	A
USGS	03303280	1976-08-21	44400	A
USGS	03303280	1976-08-22	17300	A
USGS	03303280	1976-08-23	30600	A
USGS	03303280	1976-08-24	17200	A
USGS	03303280	1976-08-25	10100	A
USGS	03303280	1976-08-26	27900	A
USGS	03303280	1976-08-27	18900	A
USGS	03303280	1976-08-28	35200	A
USGS	03303280	1976-08-29	36700	A
USGS	03303280	1976-08-30	18300	A
USGS	03303280	1976-08-31	25300	A
USGS	03303280	1976-09-01	38300	A
USGS	03303280	1976-09-02	27300	A
USGS	03303280	1976-09-03	16400	A
USGS	03303280	1976-09-04	16700	A
USGS	03303280	1976-09-05	28400	A
USGS	03303280	1976-09-06	17800	A
USGS	03303280	1976-09-07	10200	A
USGS	03303280	1976-09-08	12700	A
USGS	03303280	1976-09-09	10600	A
USGS	03303280	1976-09-10	18000	A
USGS	03303280	1976-09-11	16500	A
USGS	03303280	1976-09-12	24700	A
USGS	03303280	1976-09-13	11000	A
USGS	03303280	1976-09-14	14600	A
USGS	03303280	1976-09-15	20600	A
USGS	03303280	1976-09-16	22100	A
USGS	03303280	1976-09-17	10700	A
USGS	03303280	1976-09-18	29100	A
USGS	03303280	1976-09-19	41500	A
USGS	03303280	1976-09-20	28800	A
USGS	03303280	1976-09-21	20300	A
USGS	03303280	1976-09-22	28900	A
USGS	03303280	1976-09-23	12400	A
USGS	03303280	1976-09-24	23100	A
USGS	03303280	1976-09-25	26000	A
USGS	03303280	1976-09-26	14600	A
USGS	03303280	1976-09-27	35800	A
USGS	03303280	1976-09-28	88900	A
USGS	03303280	1976-09-29	91200	A
USGS	03303280	1976-09-30	67400	A
USGS	03303280	1976-10-01	52700	A
USGS	03303280	1976-10-02	63600	A
USGS	03303280	1976-10-03	91600	A
USGS	03303280	1976-10-04	89200	A
USGS	03303280	1976-10-05	64500	A
USGS	03303280	1976-10-06	45300	A
USGS	03303280	1976-10-07	40400	A
USGS	03303280	1976-10-08	36000	A
USGS	03303280	1976-10-09	49900	A
USGS	03303280	1976-10-10	101000	A
USGS	03303280	1976-10-11	176000	A
USGS	03303280	1976-10-12	242000	A
USGS	03303280	1976-10-13	271000	A
USGS	03303280	1976-10-14	270000	A
USGS	03303280	1976-10-15	218000	A
USGS	03303280	1976-10-16	151000	A
USGS	03303280	1976-10-17	102000	A
USGS	03303280	1976-10-18	84800	A
USGS	03303280	1976-10-19	74800	A
USGS	03303280	1976-10-20	66600	A
USGS	03303280	1976-10-21	49000	A
USGS	03303280	1976-10-22	47400	A
USGS	03303280	1976-10-23	59800	A
USGS	03303280	1976-10-24	76600	A
USGS	03303280	1976-10-25	87900	A
USGS	03303280	1976-10-26	77900	A
USGS	03303280	1976-10-27	96700	A
USGS	03303280	1976-10-28	129000	A
USGS	03303280	1976-10-29	170000	A
USGS	03303280	1976-10-30	187000	A
USGS	03303280	1976-10-31	176000	A
USGS	03303280	1976-11-01	160000	A
USGS	03303280	1976-11-02	180000	A
USGS	03303280	1976-11-03	187000	A
USGS	03303280	1976-11-04	190000	A
USGS	03303280	1976-11-05	175000	A
USGS	03303280	1976-11-06	136000	A
USGS	03303280	1976-11-07	106000	A
USGS	03303280	1976-11-08	84000	A
USGS	03303280	1976-11-09	70900	A
USGS	03303280	1976-11-10	63200	A
USGS	03303280	1976-11-11	59100	A
USGS	03303280	1976-11-12	62400	A
USGS	03303280	1976-11-13	51500	A
USGS	03303280	1976-11-14	49300	A
USGS	03303280	1976-11-15	49500	A
USGS	03303280	1976-11-16	48800	A
USGS	03303280	1976-11-17	37100	A
USGS	03303280	1976-11-18	29600	A
USGS	03303280	1976-11-19	47600	A
USGS	03303280	1976-11-20	44800	A
USGS	03303280	1976-11-21	40500	A
USGS	03303280	1976-11-22	32100	A
USGS	03303280	1976-11-23	31100	A
USGS	03303280	1976-11-24	36300	A
USGS	03303280	1976-11-25	45000	A
USGS	03303280	1976-11-26	38800	A
USGS	03303280	1976-11-27	37000	A
USGS	03303280	1976-11-28	44800	A
USGS	03303280	1976-11-29	36900	A
USGS	03303280	1976-11-30	40500	A
USGS	03303280	1976-12-01	56200	A
USGS	03303280	1976-12-02	57000	A
USGS	03303280	1976-12-03	54600	A
USGS	03303280	1976-12-04	53700	A
USGS	03303280	1976-12-05	49000	A
USGS	03303280	1976-12-06	38700	A
USGS	03303280	1976-12-07	42100	A
USGS	03303280	1976-12-08	75900	A
USGS	03303280	1976-12-09	128000	A
USGS	03303280	1976-12-10	174000	A
USGS	03303280	1976-12-11	195000	A
USGS	03303280	1976-12-12	173000	A
USGS	03303280	1976-12-13	129000	A
USGS	03303280	1976-12-14	110000	A
USGS	03303280	1976-12-15	110000	A
USGS	03303280	1976-12-16	110000	A
USGS	03303280	1976-12-17	112000	A
USGS	03303280	1976-12-18	94800	A
USGS	03303280	1976-12-19	84200	A
USGS	03303280	1976-12-20	75000	A
USGS	03303280	1976-12-21	68200	A
USGS	03303280	1976-12-22	63100	A
USGS	03303280	1976-12-23	60200	A
USGS	03303280	1976-12-24	67900	A
USGS	03303280	1976-12-25	56200	A
USGS	03303280	1976-12-26	49800	A
USGS	03303280	1976-12-27	45800	A
USGS	03303280	1976-12-28	46500	A
USGS	03303280	1976-12-29	48300	A
USGS	03303280	1976-12-30	50900	A
USGS	03303280	1976-12-31	56600	A
USGS	03303280	1977-01-01	51900	A
USGS	03303280	1977-01-02	34000	A
USGS	03303280	1977-01-03	40700	A
USGS	03303280	1977-01-04	41800	A
USGS	03303280	1977-01-05	27100	A
USGS	03303280	1977-01-06	36200	A
USGS	03303280	1977-01-07	45400	A
USGS	03303280	1977-01-08	42300	A
USGS	03303280	1977-01-09	37900	A
USGS	03303280	1977-01-10	35800	A
USGS	03303280	1977-01-11	30200	A
USGS	03303280	1977-01-12	30100	A
USGS	03303280	1977-01-13	30400	A
USGS	03303280	1977-01-14	30600	A
USGS	03303280	1977-01-15	31100	A
USGS	03303280	1977-01-16	30500	A
USGS	03303280	1977-01-17	30200	A
USGS	03303280	1977-01-18	34900	A
USGS	03303280	1977-01-19	51000	A
USGS	03303280	1977-01-20	48300	A
USGS	03303280	1977-01-21	45400	A
USGS	03303280	1977-01-22	43900	A
USGS	03303280	1977-01-23	38700	A
USGS	03303280	1977-01-24	39800	A
USGS	03303280	1977-01-25	40800	A
USGS	03303280	1977-01-26	33500	A
USGS	03303280	1977-01-27	28700	A
USGS	03303280	1977-01-28	28600	A
USGS	03303280	1977-01-29	28600	A
USGS	03303280	1977-01-30	33700	A
USGS	03303280	1977-01-31	29500	A
USGS	03303280	1977-02-01	20200	A
USGS	03303280	1977-02-02	32800	A
USGS	03303280	1977-02-03	33400	A
USGS	03303280	1977-02-04	25000	A
USGS	03303280	1977-02-05	20700	A
USGS	03303280	1977-02-06	27100	A
USGS	03303280	1977-02-07	24800	A
USGS	03303280	1977-02-08	26800	A
USGS	03303280	1977-02-09	23800	A
USGS	03303280	1977-02-10	30500	A
USGS	03303280	1977-02-11	29700	A
USGS	03303280	1977-02-12	57000	A
USGS	03303280	1977-02-13	101000	A
USGS	03303280	1977-02-14	146000	A
USGS	03303280	1977-02-15	175000	A
USGS	03303280	1977-02-16	175000	A
USGS	03303280	1977-02-17	178000	A
USGS	03303280	1977-02-18	146000	A
USGS	03303280	1977-02-19	126000	A
USGS	03303280	1977-02-20	110000	A
USGS	03303280	1977-02-21	102000	A
USGS	03303280	1977-02-22	92600	A
USGS	03303280	1977-02-23	90500	A
USGS	03303280	1977-02-24	133000	A
USGS	03303280	1977-02-25	195000	A
USGS	03303280	1977-02-26	246000	A
USGS	03303280	1977-02-27	271000	A
USGS	03303280	1977-02-28	307000	A
USGS	03303280	1977-03-01	320000	A
USGS	03303280	1977-03-02	327000	A
USGS	03303280	1977-03-03	267000	A
USGS	03303280	1977-03-04	278000	A
USGS	03303280	1977-03-05	328000	A
USGS	03303280	1977-03-06	346000	A
USGS	03303280	1977-03-07	345000	A
USGS	03303280	1977-03-08	330000	A
USGS	03303280	1977-03-09	295000	A
USGS	03303280	1977-03-10	262000	A
USGS	03303280	1977-03-11	238000	A
USGS	03303280	1977-03-12	224000	A
USGS	03303280	1977-03-13	243000	A
USGS	03303280	1977-03-14	255000	A
USGS	03303280	1977-03-15	266000	A
USGS	03303280	1977-03-16	283000	A
USGS	03303280	1977-03-17	305000	A
USGS	03303280	1977-03-18	308000	A
USGS	03303280	1977-03-19	269000	A
USGS	03303280	1977-03-20	258000	A
USGS	03303280	1977-03-21	253000	A
USGS	03303280	1977-03-22	259000	A
USGS	03303280	1977-03-23	260000	A
USGS	03303280	1977-03-24	240000	A
USGS	03303280	1977-03-25	220000	A
USGS	03303280	1977-03-26	215000	A
USGS	03303280	1977-03-27	211000	A
USGS	03303280	1977-03-28	206000	A
USGS	03303280	1977-03-29	188000	A
USGS	03303280	1977-03-30	161000	A
USGS	03303280	1977-03-31	151000	A
USGS	03303280	1977-04-01	148000	A
USGS	03303280	1977-04-02	147000	A
USGS	03303280	1977-04-03	183000	A
USGS	03303280	1977-04-04	212000	A
USGS	03303280	1977-04-05	236000	A
USGS	03303280	1977-04-06	280000	A
USGS	03303280	1977-04-07	338000	A
USGS	03303280	1977-04-08	399000	A
USGS	03303280	1977-04-09	443000	A
USGS	03303280	1977-04-10	466000	A
USGS	03303280	1977-04-11	468000	A
USGS	03303280	1977-04-12	435000	A
USGS	03303280	1977-04-13	384000	A
USGS	03303280	1977-04-14	319000	A
USGS	03303280	1977-04-15	238000	A
USGS	03303280	1977-04-16	193000	A
USGS	03303280	1977-04-17	155000	A
USGS	03303280	1977-04-18	123000	A
USGS	03303280	1977-04-19	94900	A
USGS	03303280	1977-04-20	75300	A
USGS	03303280	1977-04-21	74800	A
USGS	03303280	1977-04-22	80200	A
USGS	03303280	1977-04-23	93900	A
USGS	03303280	1977-04-24	76200	A
USGS	03303280	1977-04-25	71400	A
USGS	03303280	1977-04-26	82200	A
USGS	03303280	1977-04-27	96700	A
USGS	03303280	1977-04-28	99000	A
USGS	03303280	1977-04-29	118000	A
USGS	03303280	1977-04-30	110000	A
USGS	03303280	1977-05-01	128000	A
USGS	03303280	1977-05-02	139000	A
USGS	03303280	1977-05-03	128000	A
USGS	03303280	1977-05-04	108000	A
USGS	03303280	1977-05-05	103000	A
USGS	03303280	1977-05-06	131000	A
USGS	03303280	1977-05-07	137000	A
USGS	03303280	1977-05-08	153000	A
USGS	03303280	1977-05-09	175000	A
USGS	03303280	1977-05-10	189000	A
USGS	03303280	1977-05-11	181000	A
USGS	03303280	1977-05-12	140000	A
USGS	03303280	1977-05-13	103000	A
USGS	03303280	1977-05-14	79500	A
USGS	03303280	1977-05-15	73800	A
USGS	03303280	1977-05-16	60400	A
USGS	03303280	1977-05-17	46700	A
USGS	03303280	1977-05-18	42100	A
USGS	03303280	1977-05-19	44700	A
USGS	03303280	1977-05-20	41800	A
USGS	03303280	1977-05-21	49300	A
USGS	03303280	1977-05-22	35100	A
USGS	03303280	1977-05-23	19200	A
USGS	03303280	1977-05-24	37000	A
USGS	03303280	1977-05-25	34200	A
USGS	03303280	1977-05-26	24800	A
USGS	03303280	1977-05-27	35900	A
USGS	03303280	1977-05-28	27300	A
USGS	03303280	1977-05-29	21200	A
USGS	03303280	1977-05-30	31700	A
USGS	03303280	1977-05-31	18900	A
USGS	03303280	1977-06-01	18300	A
USGS	03303280	1977-06-02	17000	A
USGS	03303280	1977-06-03	17200	A
USGS	03303280	1977-06-04	16100	A
USGS	03303280	1977-06-05	13500	A
USGS	03303280	1977-06-06	17600	A
USGS	03303280	1977-06-07	16600	A
USGS	03303280	1977-06-08	19000	A
USGS	03303280	1977-06-09	27900	A
USGS	03303280	1977-06-10	22000	A
USGS	03303280	1977-06-11	29000	A
USGS	03303280	1977-06-12	39400	A
USGS	03303280	1977-06-13	33500	A
USGS	03303280	1977-06-14	37400	A
USGS	03303280	1977-06-15	27100	A
USGS	03303280	1977-06-16	14200	A
USGS	03303280	1977-06-17	14100	A
USGS	03303280	1977-06-18	24500	A
USGS	03303280	1977-06-19	34500	A
USGS	03303280	1977-06-20	50200	A
USGS	03303280	1977-06-21	37400	A
USGS	03303280	1977-06-22	14900	A
USGS	03303280	1977-06-23	20300	A
USGS	03303280	1977-06-24	26900	A
USGS	03303280	1977-06-25	45500	A
USGS	03303280	1977-06-26	45200	A
USGS	03303280	1977-06-27	69300	A
USGS	03303280	1977-06-28	75100	A
USGS	03303280	1977-06-29	79100	A
USGS	03303280	1977-06-30	79700	A
USGS	03303280	1977-07-01	75700	A
USGS	03303280	1977-07-02	82300	A
USGS	03303280	1977-07-03	72900	A
USGS	03303280	1977-07-04	51800	A
USGS	03303280	1977-07-05	23300	A
USGS	03303280	1977-07-06	31900	A
